,MAE,MAPE,R2
gru_model,30.499993625310584,1.299070689001234,0.7154876229816844
lstm_model,25.983052503397342,0.7183835871686655,0.787004319352799
bilstm_model,17.198441398253134,0.3359094478368492,0.8894044482420002
